-,train,Test
480,0.108,0.116
481,0.108,0.116
482,0.108,0.116
483,0.108,0.116
484,0.108,0.116
485,0.108,0.116
486,0.108,0.116
487,0.108,0.116
488,0.108,0.116
489,0.108,0.116
490,0.108,0.116
491,0.108,0.116
492,0.108,0.116
493,0.108,0.116
494,0.108,0.116
495,0.108,0.116
496,0.108,0.116
497,0.108,0.116
498,0.108,0.116
499,0.108,0.116
